date,PM2.5,PM10,SO2,NO2,CO,O3,AQI
2023/1/25,25,46,21,3,0.43,34,44
2023/1/26,21,49,15,2,0.35,43,46
2023/1/27,7,22,7,2,0.22,55,24
2023/1/28,15,74,11,2,0.24,54,62
2023/1/29,21,79,16,2,0.26,51,64
2023/1/30,34,76,37,4,0.52,31,63
2023/1/31,35,92,30,2,0.53,43,70
2023/2/1,8,32,6,2,0.16,63,30
2023/2/2,10,22,19,2,0.26,41,22
2023/2/3,23,44,37,2,0.43,23,42
2023/2/4,28,51,35,3,0.5,36,48
2023/2/5,74,114,54,5,0.82,22,100
2023/2/6,98,140,46,7,1.07,37,129
2023/2/7,47,76,39,4,0.84,38,67
2023/2/8,20,33,26,2,0.38,48,34
2023/2/9,49,70,43,4,0.65,28,68
2023/2/10,85,99,37,2,0.75,26,113
2023/2/11,139,181,38,2,1.01,18,185
2023/2/12,81,100,26,2,0.81,28,108
2023/2/13,6,9,12,2,0.22,65,23
2023/2/14,8,16,21,2,0.26,48,20
2023/2/15,31,55,34,2,0.48,29,52
2023/2/16,68,101,48,3,0.65,20,92
2023/2/17,132,177,62,3,1.04,18,174
2023/2/18,124,159,43,2,0.9,31,164
2023/2/19,5,29,13,2,0.21,66,29
2023/2/20,4,23,15,2,0.19,61,23
2023/2/21,18,40,31,2,0.35,40,36
2023/2/22,56,97,55,3,0.67,21,78
2023/2/23,91,140,66,3,0.8,20,121
2023/2/24,25,40,25,2,0.29,57,43
2023/2/25,9,21,22,2,0.23,52,24
2023/2/26,60,98,39,3,0.55,46,88
2023/2/27,131,185,53,4,0.9,43,173
2023/2/28,59,86,30,2,0.47,53,88
2023/3/1,4,16,18,2,0.19,59,21
2023/3/1,4,16,18,2,0.19,59,21
2023/3/2,19,60,36,2,0.35,41,51
2023/3/3,33,79,40,2,0.45,42,65
2023/3/4,103,168,54,8,1.2,50,139
2023/3/5,162,224,46,3,1.42,63,212
2023/3/6,132,181,43,2,1.1,65,170
2023/3/7,146,216,56,6,1.26,82,190
2023/3/8,73,131,32,3,0.66,72,109
2023/3/9,42,104,46,3,0.53,42,77
2023/3/10,82,397,37,3,0.52,49,243
2023/3/11,19,176,10,2,0.2,67,124
2023/3/12,8,59,8,2,0.18,70,53
2023/3/13,30,96,46,2,0.46,24,73
2023/3/14,42,195,33,3,0.44,44,126
2023/3/15,17,132,5,2,0.17,73,96
